,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,1552594104,100,-23.12,-134.97,75.44,18.75
1,Castro,20,CL,1552590000,59,-42.48,-73.76,62.6,8.05
2,Grand Gaube,20,MU,1552593844,83,-20.01,57.66,77.0,2.24
3,Avarua,64,CK,1552591800,74,-21.21,-159.78,82.4,18.34
4,Tuktoyaktuk,90,CA,1552590000,75,69.44,-133.03,-13.01,21.92
5,Kodiak,90,US,1552594104,98,39.95,-94.76,39.99,20.8
6,Kapaa,75,US,1552594099,65,22.08,-159.32,78.8,9.17
7,Puerto Ayora,0,EC,1552593812,69,-0.74,-90.35,82.4,11.41
8,Natchitoches,90,US,1552593959,38,31.76,-93.09,77.0,12.75
9,Quatre Cocos,20,MU,1552593844,83,-20.21,57.76,77.0,2.24
10,Lavrentiya,68,RU,1552594106,99,65.58,-170.99,20.9,28.03
11,Hilo,90,US,1552594049,73,19.71,-155.08,75.0,3.36
12,Lebu,0,ET,1552594106,69,8.96,38.73,53.12,6.22
13,Araouane,0,ML,1552594067,21,18.9,-3.53,65.36,7.11
14,New Norfolk,75,AU,1552594094,71,-42.78,147.06,55.4,5.82
15,Shimoda,0,JP,1552593911,74,34.7,138.93,37.0,4.0
16,Cape Town,0,ZA,1552593964,68,-33.93,18.42,73.99,9.17
17,Hualmay,12,PE,1552594107,64,-11.1,-77.61,78.95,4.32
18,Poltavka,0,RU,1552594107,88,54.36,71.76,36.02,12.26
19,Punta Arenas,75,CL,1552593793,55,-53.16,-70.91,60.8,17.22
20,Vila Velha,40,BR,1552594091,78,-3.71,-38.6,82.4,6.93
21,Mar del Plata,92,AR,1552594107,94,-46.43,-67.52,55.87,13.38
22,Morros,75,BR,1552593600,78,-2.87,-44.04,82.4,10.29
23,Zhezkazgan,90,KZ,1552590000,93,47.8,67.71,35.6,17.9
24,Adana,40,TR,1552593000,93,37.0,35.33,54.0,4.7
25,Nyimba,48,ZM,1552594108,51,-14.56,30.81,79.72,4.43
26,Kondinskoye,92,RU,1552594108,93,59.65,67.41,28.46,13.82
27,Qaanaaq,24,GL,1552594108,100,77.48,-69.36,-12.09,8.01
28,Talnakh,48,RU,1552594108,86,69.49,88.39,4.16,11.25
29,Buraydah,75,SA,1552590000,55,26.33,43.97,64.4,12.75
30,San Policarpo,0,PH,1552594108,96,12.18,125.51,75.4,6.44
31,Hermanus,0,ZA,1552593794,84,-34.42,19.24,73.99,7.0
32,Bathsheba,40,BB,1552590000,62,13.22,-59.52,84.2,18.34
33,Busselton,0,AU,1552594077,45,-33.64,115.35,64.0,11.81
34,Half Moon Bay,1,US,1552594103,25,37.46,-122.43,66.0,14.99
35,Ormond Beach,1,US,1552594099,57,29.29,-81.06,86.0,12.75
36,Tasiilaq,90,GL,1552589400,85,65.61,-37.64,24.8,4.7
37,Albany,1,US,1552594043,55,42.65,-73.75,57.99,12.75
38,Muros,40,ES,1552594054,75,42.77,-9.06,54.0,5.82
39,Lorengau,24,PG,1552594110,100,-2.02,147.27,82.37,16.06
40,Staroutkinsk,80,RU,1552594110,85,57.23,59.33,25.54,10.8
41,Berlevag,40,NO,1552589400,73,70.86,29.09,24.8,19.46
42,Te Anau,8,NZ,1552594110,92,-45.41,167.72,45.34,3.53
43,Lodja,24,CD,1552594110,84,-3.52,23.6,76.3,0.63
44,Faanui,32,PF,1552594111,100,-16.48,-151.75,82.15,9.01
45,Bredasdorp,64,ZA,1552593794,88,-34.53,20.04,69.8,9.17
46,Mahebourg,20,MU,1552593844,83,-20.41,57.7,77.0,2.24
47,Torres,44,BR,1552593993,92,-29.34,-49.73,74.99,3.98
48,Two Hills,0,CA,1552594111,99,53.71,-111.75,30.04,4.43
49,Narsaq,75,GL,1552589400,73,60.91,-46.05,21.2,8.05
50,Saint-Philippe,90,CA,1552594096,89,45.36,-73.48,48.0,6.93
51,Mataura,0,NZ,1552593609,92,-46.19,168.86,43.0,1.01
52,Goundi,24,TD,1552594112,24,9.36,17.37,80.03,5.44
53,East London,75,ZA,1552590000,100,-33.02,27.91,66.2,3.36
54,Nome,90,US,1552594105,29,30.04,-94.42,77.0,12.75
55,Vaini,0,IN,1552594112,71,15.34,74.49,66.85,2.19
56,Dikson,80,RU,1552594112,100,73.51,80.55,4.97,18.19
57,Aklavik,75,CA,1552592400,77,68.22,-135.01,-0.41,11.41
58,Sambava,64,MG,1552594113,100,-14.27,50.17,79.54,11.81
59,Fortuna,0,ES,1552594112,58,38.18,-1.13,57.2,1.12
60,Port Hardy,90,CA,1552590000,81,50.7,-127.42,44.6,11.41
61,Lima,0,PE,1552593727,58,-12.06,-77.04,82.4,9.17
62,Bluff,20,AU,1552594113,85,-23.58,149.07,72.38,5.77
63,Arona,0,IT,1552594084,79,45.76,8.56,57.2,10.29
64,Calabozo,32,VE,1552594114,34,8.92,-67.43,96.86,14.61
65,Atuona,68,PF,1552594114,100,-9.8,-139.03,80.66,13.27
66,Nyurba,88,RU,1552594114,74,63.29,118.35,11.54,5.1
67,Bodden Town,20,KY,1552593604,66,19.28,-81.25,84.2,16.11
68,Norman Wells,75,CA,1552590000,71,65.28,-126.83,5.0,3.36
69,Murgab,0,TM,1552590000,67,37.5,61.97,57.2,2.75
70,Ushuaia,0,AR,1552590000,51,-54.81,-68.31,59.0,8.05
71,Cherskiy,36,RU,1552594114,71,68.75,161.3,-24.06,2.08
72,Barrow,20,AR,1552594115,69,-38.31,-60.23,70.54,13.27
73,Shingu,0,JP,1552594115,100,33.72,135.99,47.32,6.67
74,Hanzhong,64,CN,1552594115,83,33.08,107.03,35.57,2.08
75,San Cristobal,75,EC,1552593691,56,-0.39,-78.55,69.8,16.11
76,Nikolskoye,40,RU,1552594023,90,59.7,30.79,33.01,13.42
77,Hithadhoo,0,MV,1552594105,100,-0.6,73.08,83.27,1.19
